# $ java -Xmx12G -Xms12G -cp ./bin/ -DBASE_SIZE=1048576 -DPARALLEL=TRUE -DPARALLELISM=2 io.simonis.QuickSort
# Size of ForkJoinPool: 2
# Test finished
# Warmup finished
1048576 62
2097152 117
3145728 176
4194304 234
5242880 298
6291456 356
7340032 422
8388608 485
9437184 736
10485760 609
11534336 674
12582912 732
13631488 788
14680064 861
15728640 921
16777216 988
