# $ java -Xmx12G -Xms12G -cp ./bin/ -DBASE_SIZE=1048576 -DPARALLEL=TRUE -DPARALLELISM=64 io.simonis.QuickSort
# Size of ForkJoinPool: 64
# Test finished
# Warmup finished
"64 Threads"
1.048.576 237
2.097.152 36
3.145.728 57
4.194.304 74
5.242.880 92
6.291.456 124
7.340.032 138
8.388.608 164
9.437.184 173
10.485.760 181
11.534.336 202
12.582.912 224
13.631.488 236
14.680.064 274
15.728.640 303
16.777.216 302
