# $ java -Xmx12G -Xms12G -cp ./bin/ -DBASE_SIZE=1048576 -DPARALLEL=TRUE -DPARALLELISM=4 io.simonis.QuickSort
# Size of ForkJoinPool: 4
# Test finished
# Warmup finished
1048576 47
2097152 84
3145728 127
4194304 169
5242880 187
6291456 445
7340032 223
8388608 271
9437184 303
10485760 335
11534336 364
12582912 406
13631488 429
14680064 462
15728640 514
16777216 519
