# $ java -Xmx12G -Xms12G -cp ./bin/ -DBASE_SIZE=1048576 -DPARALLEL=TRUE -DPARALLELISM=32 io.simonis.QuickSort
#Size of ForkJoinPool: 32
# Test finished
# Warmup finished
1048576 535
2097152 42
3145728 61
4194304 83
5242880 105
6291456 129
7340032 146
8388608 167
9437184 181
10485760 205
11534336 208
12582912 239
13631488 244
14680064 267
15728640 279
16777216 290
